category,template,options
5.考試與閱讀,The passage gives an example of ___.,habit|problem|rule
5.考試與閱讀,The problem mentioned in the passage is ___.,pollution|stress|bullying
5.考試與閱讀,One possible reason is ___.,habit|stress|mistake
5.考試與閱讀,The best title for this passage is ___.,title|name|topic
5.考試與閱讀,The word ___ means ___.,important|useful|common
5.考試與閱讀,The sentence shows that ___.,meaning|result|reason
5.考試與閱讀,This paragraph explains ___.,detail|reason|process
5.考試與閱讀,The last paragraph suggests that ___.,future|result|advice
5.考試與閱讀,The passage shows the importance of ___.,habit|skill|practice
5.考試與閱讀,The passage describes how ___.,to learn|to live|to work
5.考試與閱讀,The passage compares ___ and ___.,school|home|work
5.考試與閱讀,The passage explains why ___.,reason|result|fact
5.考試與閱讀,The passage focuses on ___.,topic|detail|problem
5.考試與閱讀,The example is used to show ___.,reason|point|truth
5.考試與閱讀,The passage encourages readers to ___.,try|learn|practice
5.考試與閱讀,The passage warns people about ___.,danger|problem|mistake
5.考試與閱讀,The passage tells a story about ___.,life|hero|friend
5.考試與閱讀,The passage gives advice on ___.,learning|health|life
